<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;D;16/01/23;000000;0.762;0.7693;0.759;0.7678;75871000;0
РусГидро;D;17/01/23;000000;0.7678;0.7732;0.7582;0.76;74159000;0
РусГидро;D;18/01/23;000000;0.759;0.7691;0.7546;0.7617;48972000;0
РусГидро;D;19/01/23;000000;0.765;0.765;0.7526;0.7543;49767000;0
РусГидро;D;20/01/23;000000;0.753;0.762;0.753;0.758;34843000;0
РусГидро;D;21/01/23;000000;0.758;0.758;0.758;0.758;0;0
РусГидро;D;22/01/23;000000;0.758;0.758;0.758;0.758;0;0
РусГидро;D;23/01/23;000000;0.7561;0.7691;0.7561;0.7666;42485000;0
РусГидро;D;24/01/23;000000;0.7691;0.7702;0.759;0.7621;82887000;0
РусГидро;D;25/01/23;000000;0.7621;0.764;0.758;0.7623;32013000;0
РусГидро;D;26/01/23;000000;0.763;0.764;0.756;0.7605;33479000;0
РусГидро;D;27/01/23;000000;0.7615;0.7849;0.7518;0.778;156591000;0
РусГидро;D;28/01/23;000000;0.778;0.778;0.778;0.778;0;0
РусГидро;D;29/01/23;000000;0.778;0.778;0.778;0.778;0;0
РусГидро;D;30/01/23;000000;0.7818;0.792;0.779;0.785;181283000;0
РусГидро;D;31/01/23;000000;0.7884;0.7884;0.781;0.7838;63928000;0
РусГидро;D;01/02/23;000000;0.7805;0.7856;0.7804;0.7818;45654000;0
РусГидро;D;02/02/23;000000;0.7826;0.7845;0.7741;0.7784;82477000;0
РусГидро;D;03/02/23;000000;0.7751;0.7835;0.7751;0.7815;63519000;0
РусГидро;D;04/02/23;000000;0.7815;0.7815;0.7815;0.7815;0;0
РусГидро;D;05/02/23;000000;0.7815;0.7815;0.7815;0.7815;0;0
РусГидро;D;06/02/23;000000;0.7814;0.79;0.7763;0.7866;75011000;0
РусГидро;D;07/02/23;000000;0.788;0.7897;0.7834;0.7857;30917000;0
РусГидро;D;08/02/23;000000;0.7859;0.7933;0.783;0.7873;81604000;0
РусГидро;D;09/02/23;000000;0.7873;0.7921;0.784;0.791;38413000;0
РусГидро;D;10/02/23;000000;0.7919;0.7927;0.7854;0.7862;59048000;0
РусГидро;D;11/02/23;000000;0.7862;0.7862;0.7862;0.7862;0;0
РусГидро;D;12/02/23;000000;0.7862;0.7862;0.7862;0.7862;0;0
РусГидро;D;13/02/23;000000;0.7919;0.797;0.7864;0.7942;59976000;0
РусГидро;D;14/02/23;000000;0.7967;0.7967;0.7784;0.7812;93369000;0
РусГидро;D;15/02/23;000000;0.7804;0.7866;0.754;0.7638;161269000;0
РусГидро;D;16/02/23;000000;0.7631;0.7824;0.7631;0.7761;82789000;0
РусГидро;D;17/02/23;000000;0.7736;0.7843;0.765;0.7835;185749000;0
РусГидро;D;18/02/23;000000;0.7835;0.7835;0.7835;0.7835;0;0
РусГидро;D;19/02/23;000000;0.7835;0.7835;0.7835;0.7835;0;0
РусГидро;D;20/02/23;000000;0.7865;0.7905;0.78;0.7861;80259000;0
РусГидро;D;21/02/23;000000;0.786;0.8032;0.786;0.7891;104721000;0
РусГидро;D;22/02/23;000000;0.7886;0.7948;0.783;0.7936;37598000;0
РусГидро;D;23/02/23;000000;0.7936;0.7936;0.7936;0.7936;0;0
РусГидро;D;24/02/23;000000;0.7936;0.7966;0.788;0.7907;25417000;0
РусГидро;D;25/02/23;000000;0.7907;0.7907;0.7907;0.7907;0;0
РусГидро;D;26/02/23;000000;0.7907;0.7907;0.7907;0.7907;0;0
РусГидро;D;27/02/23;000000;0.7912;0.7972;0.7875;0.7898;67356000;0
РусГидро;D;28/02/23;000000;0.7915;0.7917;0.7806;0.7867;64897000;0
РусГидро;D;01/03/23;000000;0.7866;0.7925;0.7866;0.7891;39567000;0
РусГидро;D;02/03/23;000000;0.7877;0.7925;0.7861;0.7881;52835000;0
РусГидро;D;03/03/23;000000;0.7897;0.794;0.782;0.791;114452000;0
РусГидро;D;04/03/23;000000;0.791;0.791;0.791;0.791;0;0
РусГидро;D;05/03/23;000000;0.791;0.791;0.791;0.791;0;0
РусГидро;D;06/03/23;000000;0.7915;0.794;0.7872;0.7885;55085000;0
РусГидро;D;07/03/23;000000;0.7903;0.7903;0.7861;0.7879;34869000;0
РусГидро;D;08/03/23;000000;0.7879;0.7879;0.7879;0.7879;0;0
РусГидро;D;09/03/23;000000;0.7879;0.7892;0.7796;0.7819;49982000;0
РусГидро;D;10/03/23;000000;0.7819;0.7842;0.7719;0.7809;51428000;0
РусГидро;D;11/03/23;000000;0.7809;0.7809;0.7809;0.7809;0;0
РусГидро;D;12/03/23;000000;0.7809;0.7809;0.7809;0.7809;0;0
РусГидро;D;13/03/23;000000;0.7809;0.7889;0.7755;0.7799;51437000;0
РусГидро;D;14/03/23;000000;0.7784;0.7803;0.775;0.7783;33926000;0
РусГидро;D;15/03/23;000000;0.7783;0.7784;0.771;0.7754;55710000;0
РусГидро;D;16/03/23;000000;0.7748;0.778;0.7665;0.7765;87801000;0
РусГидро;D;17/03/23;000000;0.7765;0.785;0.7742;0.7763;65323000;0
РусГидро;D;18/03/23;000000;0.7763;0.7763;0.7763;0.7763;0;0
РусГидро;D;19/03/23;000000;0.7763;0.7763;0.7763;0.7763;0;0
РусГидро;D;20/03/23;000000;0.778;0.7884;0.7704;0.7864;82207000;0
РусГидро;D;21/03/23;000000;0.7871;0.7871;0.784;0.7854;59143000;0
РусГидро;D;22/03/23;000000;0.7854;0.7896;0.7853;0.7876;77237000;0
РусГидро;D;23/03/23;000000;0.7862;0.7915;0.7842;0.7903;89688000;0
РусГидро;D;24/03/23;000000;0.79;0.8;0.7892;0.794;82839000;0
РусГидро;D;25/03/23;000000;0.794;0.794;0.794;0.794;0;0
РусГидро;D;26/03/23;000000;0.794;0.794;0.794;0.794;0;0
РусГидро;D;27/03/23;000000;0.7951;0.8357;0.793;0.8177;597501000;0
РусГидро;D;28/03/23;000000;0.8228;0.8245;0.8051;0.8111;91828000;0
РусГидро;D;29/03/23;000000;0.812;0.8344;0.8066;0.8163;221440000;0
РусГидро;D;30/03/23;000000;0.8163;0.826;0.8101;0.8231;66265000;0
РусГидро;D;31/03/23;000000;0.8232;0.8247;0.815;0.821;59954000;0
РусГидро;D;01/04/23;000000;0.821;0.821;0.821;0.821;0;0
РусГидро;D;02/04/23;000000;0.821;0.821;0.821;0.821;0;0
РусГидро;D;03/04/23;000000;0.8244;0.8442;0.8235;0.8397;176588000;0
РусГидро;D;04/04/23;000000;0.8426;0.8476;0.8282;0.8282;142100000;0
РусГидро;D;05/04/23;000000;0.8284;0.8966;0.8213;0.8564;1545853000;0
РусГидро;D;06/04/23;000000;0.8564;0.86;0.8377;0.847;182507000;0
РусГидро;D;07/04/23;000000;0.8497;0.852;0.838;0.84;100325000;0
РусГидро;D;08/04/23;000000;0.84;0.84;0.84;0.84;0;0
РусГидро;D;09/04/23;000000;0.84;0.84;0.84;0.84;0;0
РусГидро;D;10/04/23;000000;0.839;0.855;0.8283;0.8411;190753000;0
РусГидро;D;11/04/23;000000;0.8413;0.843;0.825;0.827;142257000;0
РусГидро;D;12/04/23;000000;0.8336;0.8336;0.824;0.8335;40918000;0
РусГидро;D;13/04/23;000000;0.8338;0.8338;0.8262;0.8288;36808000;0
РусГидро;D;14/04/23;000000;0.8313;0.8328;0.8265;0.829;39706000;0
РусГидро;D;15/04/23;000000;0.829;0.829;0.829;0.829;0;0
РусГидро;D;16/04/23;000000;0.829;0.829;0.829;0.829;0;0
РусГидро;D;17/04/23;000000;0.8338;0.842;0.8328;0.8368;60934000;0
РусГидро;D;18/04/23;000000;0.8373;0.8444;0.8325;0.8402;70948000;0
РусГидро;D;19/04/23;000000;0.841;0.8429;0.8148;0.8238;168802000;0
РусГидро;D;20/04/23;000000;0.8238;0.8297;0.8092;0.8229;161434000;0
РусГидро;D;21/04/23;000000;0.8229;0.831;0.8203;0.8265;65665000;0
РусГидро;D;22/04/23;000000;0.8265;0.8265;0.8265;0.8265;0;0
РусГидро;D;23/04/23;000000;0.8265;0.8265;0.8265;0.8265;0;0
РусГидро;D;24/04/23;000000;0.8229;0.8366;0.8205;0.8294;108966000;0
РусГидро;D;25/04/23;000000;0.8305;0.84;0.825;0.8304;103610000;0
РусГидро;D;26/04/23;000000;0.8305;0.8405;0.828;0.8335;116339000;0
РусГидро;D;27/04/23;000000;0.8335;0.8346;0.8236;0.8309;67987000;0
РусГидро;D;28/04/23;000000;0.8349;0.835;0.8257;0.8274;66919000;0
РусГидро;D;29/04/23;000000;0.8274;0.8274;0.8274;0.8274;0;0
РусГидро;D;30/04/23;000000;0.8274;0.8274;0.8274;0.8274;0;0
РусГидро;D;01/05/23;000000;0.8274;0.8274;0.8274;0.8274;0;0
РусГидро;D;02/05/23;000000;0.8275;0.8325;0.8143;0.8146;72122000;0
РусГидро;D;03/05/23;000000;0.8146;0.8146;0.7945;0.7999;117935000;0
РусГидро;D;04/05/23;000000;0.7999;0.8037;0.7897;0.7963;60631000;0
РусГидро;D;05/05/23;000000;0.7986;0.7986;0.7926;0.7958;25275000;0
РусГидро;D;06/05/23;000000;0.7958;0.7958;0.7958;0.7958;0;0
РусГидро;D;07/05/23;000000;0.7958;0.7958;0.7958;0.7958;0;0
РусГидро;D;08/05/23;000000;0.7955;0.7988;0.789;0.7955;19636000;0
РусГидро;D;09/05/23;000000;0.7955;0.7955;0.7955;0.7955;0;0
РусГидро;D;10/05/23;000000;0.7945;0.8099;0.7933;0.8082;45129000;0
РусГидро;D;11/05/23;000000;0.8097;0.83;0.7939;0.8019;130667000;0
РусГидро;D;12/05/23;000000;0.8098;0.8098;0.7951;0.7998;63961000;0
РусГидро;D;13/05/23;000000;0.7998;0.7998;0.7998;0.7998;0;0
РусГидро;D;14/05/23;000000;0.7998;0.7998;0.7998;0.7998;0;0
РусГидро;D;15/05/23;000000;0.8021;0.8164;0.8;0.8163;73661000;0
РусГидро;D;16/05/23;000000;0.816;0.839;0.8125;0.8342;141256000;0
РусГидро;D;17/05/23;000000;0.835;0.8383;0.8272;0.8328;74721000;0
РусГидро;D;18/05/23;000000;0.832;0.8395;0.8318;0.8361;59523000;0
РусГидро;D;19/05/23;000000;0.8356;0.8386;0.822;0.8297;84213000;0
РусГидро;D;20/05/23;000000;0.8297;0.8297;0.8297;0.8297;0;0
РусГидро;D;21/05/23;000000;0.8297;0.8297;0.8297;0.8297;0;0
РусГидро;D;22/05/23;000000;0.83;0.8331;0.8149;0.8204;56766000;0
РусГидро;D;23/05/23;000000;0.8243;0.83;0.8118;0.825;57594000;0
РусГидро;D;24/05/23;000000;0.8268;0.8268;0.8113;0.8167;54504000;0
РусГидро;D;25/05/23;000000;0.8168;0.824;0.8124;0.8179;41887000;0
РусГидро;D;26/05/23;000000;0.8179;0.8353;0.8179;0.8328;75698000;0
